nombre,descripcion,genero,destacado
Assassins Creed Triple Pack Black Flag Unity Syndicate PS4, "Tres entregas de Assassin's Creed en un solo paquete", Aventura, 0
Assassins Creed Triple Pack Black Flag Unity Syndicate PS5, "Tres entregas de Assassin's Creed en un solo paquete", Aventura, 0
Assassins Creed The Ezio Collection PS4, "Trilogía completa de Ezio Auditore remasterizada", Aventura, 0
Assassins Creed The Ezio Collection PS5, "Trilogía completa de Ezio Auditore remasterizada", Aventura, 0
Assassins Creed Valhalla PS4, "Aventura vikinga en la Inglaterra medieval", RPG, 0
Assassins Creed Valhalla PS5, "Aventura vikinga en la Inglaterra medieval", RPG, 0
Assassins Creed Mirage PS4, "Regreso a las raíces de sigilo en Bagdad", Aventura, 0
Assassins Creed Mirage PS5, "Regreso a las raíces de sigilo en Bagdad", Aventura, 0
Assassins Creed Odyssey PS4, "Épica aventura en la antigua Grecia", RPG, 0
Assassins Creed Odyssey PS5, "Épica aventura en la antigua Grecia", RPG, 0
Assassins Creed Odyssey PS4, "Épica aventura en la antigua Grecia con contenido extra", RPG, 0
Assassins Creed Odyssey PS5, "Épica aventura en la antigua Grecia con contenido extra", RPG, 0
Assassins Creed Origins PS4, "Explora el antiguo Egipto en los orígenes de la hermandad", RPG, 0
Assassins Creed Origins PS5, "Explora el antiguo Egipto en los orígenes de la hermandad", RPG, 0
Assassins Creed Syndicate PS4, "Aventura de asesinos en el Londres victoriano", Aventura, 0
Assassins Creed III Remastered PS4, "La revolución americana con gráficos mejorados", Aventura, 0
Assassins Creed III Remastered PS5, "La revolución americana con gráficos mejorados", Aventura, 0
Assassins Creed Unity PS4, "Revolución francesa con sigilo y parkour mejorado", Aventura, 0
Assassins Creed Unity PS5, "Revolución francesa con sigilo y parkour mejorado", Aventura, 0
Assassins Creed IV Black Flag PS4, "Piratas del Caribe con batallas navales épicas", Aventura, 0
Assassins Creed IV Black Flag PS5, "Piratas del Caribe con batallas navales épicas", Aventura, 0
Asseto Corsa Competizione PS4, "Simulador de carreras GT enfocado en realismo", Racing, 0
Asseto Corsa Competizione PS5, "Simulador de carreras GT enfocado en realismo", Racing, 0
Assetto Corsa PS4, "Simulador de conducción con física realista", Racing, 0
Assetto Corsa PS5, "Simulador de conducción con física realista", Racing, 0
ACE COMBAT 7 SKIES UNKNOWN TOP GUN Maverick Edition PS4, "Combate aéreo arcade con jets modernos", Arcade, 0
ACE COMBAT 7 SKIES UNKNOWN PS4, "Combate aéreo arcade con jets modernos", Arcade, 0
ACE COMBAT 7 SKIES UNKNOWN PS5, "Combate aéreo arcade con jets modernos", Arcade, 0
Avatar Frontiers of Pandora PS5, "Exploración del mundo de Pandora en primera persona", Aventura, 0
Balatro PS4, "Juego de accion en cartas", Tactico, 0
Balatro PS5, "Juego de accion en cartas", Tactico, 0
Bayonetta PS4, "Hack and slash de acción con combates espectaculares y estilo anime.", Accion, 0
Ben 10 PS4, "Juego de accion de BEN 10", Accion, 0
Ben 10 PS5, "Juego de accion de BEN 10", Accion, 0
Ben 10 Power Trip PS4, "Juego de accion de BEN 10", Accion, 0
Ben 10 Power Trip PS5, "Juego de accion de BEN 10", Accion, 0
Bus Simulator, "Simulador de conduccion de autobuses urbanos", Simulacion, 0
Bus Simulator 21 Next Stop PS4, "Simulador de conduccion de autobuses urbanos", Simulacion, 0
Bus Simulator 21 Next Stop PS5, "Simulador de conducción de autobuses urbanos", Simulación, 0
Borderlands The Handsome Collection PS4, "Shooter looter con millones de armas y humor", Shooter, 0
Borderlands The Handsome Collection PS5, "Shooter looter con millones de armas y humor", Shooter, 0
Borderlands 3 PS4, "Shooter looter con millones de armas y humor", Shooter, 0
Borderlands 3 PS5, "Shooter looter con millones de armas y humor", Shooter, 0
Borderlands 3 Next Level Bundle PS4, "Shooter looter con millones de armas y humor", Shooter, 0
Borderlands 3 Next Level Bundle PS5, "Shooter looter con millones de armas y humor", Shooter, 0
Batman Arkham Collection PS4, "Trilogía completa de Batman Arkham", Acción, 0
Batman Arkham Collection PS5, "Trilogía completa de Batman Arkham", Acción, 0
Batman Arkham Knight PS4, "Aventura final de Batman con Batimóvil jugable", Acción, 0
Batman Arkham Knight PS5, "Aventura final de Batman con Batimóvil jugable", Acción, 0
Batman Return to Arkham PS4, "Remasterización de Arkham Asylum y City", Acción, 0
Batman Return to Arkham PS5, "Remasterización de Arkham Asylum y City", Acción, 0
Battlefield Hardline PS4, "Battlefield enfocado en policías vs criminales", Shooter, 0
Battlefield Hardline PS5, "Battlefield enfocado en policías vs criminales", Shooter, 0
Battlefield 1 PS4, "Shooter de la Primera Guerra Mundial", Shooter, 0
Battlefield 1 PS5, "Shooter de la Primera Guerra Mundial", Shooter, 0
Battlefield 4 PS4, "Shooter militar moderno multijugador", Shooter, 0
Battlefield 4 PS5, "Shooter militar moderno multijugador", Shooter, 0
Battlefield 2042 PS4, "Shooter futurista con mapas masivos", Shooter, 0
Battlefield V PS4, "Segunda Guerra Mundial con todas las expansiones", Shooter, 0
Battlefield V Definitive Edition PS5, "Segunda Guerra Mundial con todas las expansiones", Shooter, 0
Battlefield 6 PS5, "La campaña para un jugador se ambienta entre 2027 y 2028, enfrentando a una OTAN fragmentada contra Pax Armata, una empresa militar privada", Shooter, 1
BioShock The Collection PS4, "Trilogía completa de BioShock remasterizada", Shooter, 0
BioShock The Collection PS5, "Trilogía completa de BioShock remasterizada", Shooter, 0
Back 4 Blood PS4, "Shooter cooperativo de zombies estilo Left 4 Dead", Shooter, 0
Back 4 Blood PS5, "Shooter cooperativo de zombies estilo Left 4 Dead", Shooter, 0
Bloodborne PS4, "Souls-like gótico con combate rápido y agresivo", RPG, 0
Bloodborne PS5, "Souls-like gótico con combate rápido y agresivo", RPG, 0
Blasphemous 2 PS4, "Metroidvania oscuro de acción y plataformas con temática religiosa.", Metroidvania, 0
Bratz Flaunt Your Fashion PS4, "Aventura casual de moda y exploración urbana.", Moda, 0
Bully PS4, "Aventura escolar de Rockstar con humor y travesuras", Aventura, 0
Bully PS5, "Aventura escolar de Rockstar con humor y travesuras", Aventura, 0
Black Myth Wukong PS5, "RPG de acción basado en la mitología china", RPG, 0
Castle Crashers Remastered PS4, "Beat ‘em up cooperativo con humor y estilo cartoon.", Cartoon, 0
Call of duty Black Ops III Zombies Edition PS4, "Shooter futurista enfocado en modo zombies", Shooter, 0
Call of duty Black Ops III Zombies Chronicles Edition PS4, "Shooter futurista enfocado en modo zombies", Shooter, 0
Call of duty Black Ops 3 PS5, "Shooter futurista enfocado en modo zombies", Shooter, 0
Call Of Duty Black Ops 4 PS4, "Shooter multijugador sin campaña individual", Shooter, 0
Call Of Duty Black Ops 4 PS5, "Shooter multijugador sin campaña individual", Shooter, 0
Call of Duty Black Ops 6 PS4, "Nueva entrega de la saga Black Ops", Shooter, 1
Call of Duty Black Ops 6 PS5, "Nueva entrega de la saga Black Ops", Shooter, 1
Call Of Duty Modern Warfare Remastered PS4, "Remasterización del clásico Modern Warfare", Shooter, 0
Call Of Duty Modern Warfare Remastered PS5, "Remasterización del clásico Modern Warfare", Shooter, 0
Call of Duty Modern Warfare 2 Campaign Remastered PS4, "Campaña remasterizada de MW2", Shooter, 0
Call of Duty Modern Warfare 2 Campaign Remastered PS5, "Campaña remasterizada de MW2", Shooter, 0
Call Of Duty WWII PS4, "Shooter de la Segunda Guerra Mundial", Shooter, 0
Call Of Duty WWII PS5, "Shooter de la Segunda Guerra Mundial", Shooter, 0
Call of Duty Advanced Warfare PS4, "Shooter futurista con exoesqueletos", Shooter, 0
Call of Duty Advanced Warfare PS5, "Shooter futurista con exoesqueletos", Shooter, 0
Call of Duty Black Ops Cold War PS4, "Shooter ambientado en la Guerra Fría", Shooter, 0
Call of Duty Black Ops Cold War PS5, "Shooter ambientado en la Guerra Fría", Shooter, 0
Call of Duty Infinite Warfare PS4, "Shooter con combate espacial y terrestre", Shooter, 0
Call of Duty Infinite Warfare PS5, "Shooter con combate espacial y terrestre", Shooter, 0
Call of Duty Modern Warfare II PS4, "Reinicio de la saga Modern Warfare", Shooter, 0
Call of Duty Modern Warfare II PS5, "Reinicio de la saga Modern Warfare", Shooter, 0
Call of Duty Modern Warfare III PS4, "Última entrega de la trilogía Modern Warfare", Shooter, 0
Call of Duty Modern Warfare III PS5, "Última entrega de la trilogía Modern Warfare", Shooter, 0
Call of Duty Modern Warfare PS4, "Reinicio de Modern Warfare en inglés", Shooter, 0
Call of Duty Modern Warfare PS5, "Reinicio de Modern Warfare en inglés", Shooter, 0
Call of Duty Ghosts PS4, "La saga de ghost en mexico", Shooter, 0
Call of Duty Ghosts PS5, "La saga de ghost en mexico", Shooter, 0
Call of Duty Vanguard PS4, "Shooter de la Segunda Guerra Mundial", Shooter, 0
Call of Duty Vanguard PS5, "Shooter de la Segunda Guerra Mundial", Shooter, 0
Car Mechanic Simulator PS4, "Simulador de reparación de automóviles", Simulación, 0
Car Mechanic Simulator PS5, "Simulador de reparación de automóviles", Simulación, 0
Car Mechanic Simulator 2021 PS4, "Simulador detallado de mecánica automotriz", Simulación, 0
Car Mechanic Simulator 2021 PS5, "Simulador detallado de mecánica automotriz", Simulación, 0
CARS 3 PS4, "Juego de carreras basado en la película Cars 3", Racing, 0
CARS 3 PS5, "Juego de carreras basado en la película Cars 3", Racing, 0
CARS 3 Driven to Win PS4, "Juego de carreras basado en la película Cars 3", Racing, 0
CARS 3 Driven to Win PS5, "Juego de carreras basado en la película Cars 3", Racing, 0
Crash Bandicoot Bundle N. Sane Trilogy + CTR Nitro Fueled PS4, "Remakes de Crash Bandicoot clásicos y carreras", Plataformas, 0
Crash Bandicoot Bundle N. Sane Trilogy + CTR Nitro Fueled PS5, "Remakes de Crash Bandicoot clásicos y carreras", Plataformas, 0
Crash Bandicoot Quadrilogy Bundle PS4, "Cuatro juegos de Crash Bandicoot", Plataformas, 0
Crash Bandicoot Quadrilogy Bundle Crash Trilogy + Crash 4 PS5, "Cuatro juegos de Crash Bandicoot", Plataformas, 0
Crash Bandicoot Crashiversary Bundle PS4, "Bundle con múltiples juegos de Crash", Plataformas, 0
Crash Bandicoot Crashiversary Bundle Crash Trilogy + Crash 4 + Crash Team Racing Nitro PS5, "Bundle con múltiples juegos de Crash", Plataformas, 0
Crash Team Racing Nitro Fueled + Spyro Game Bundle PS4, "Carreras de Crash y aventura de Spyro", Racing, 0
Crash Team Racing Nitro Fueled + Spyro Game Bundle PS5, "Carreras de Crash y aventura de Spyro", Racing, 0
Crash + Spyro Triple Play Bundle PS4, "Bundle con juegos de Crash y Spyro", Plataformas, 0
Crash + Spyro Triple Play Bundle PS5, "Bundle con juegos de Crash y Spyro", Plataformas, 0
Cuphead PS4, "Run and gun estilo cartoon de los años 30", Plataformas, 0
Cuphead & The Delicious Last Course PS4, "Run and gun estilo cartoon de los años 30", Plataformas, 0
Cuphead PS5, "Run and gun estilo cartoon de los años 30", Plataformas, 0
Cult of the Lamb PS4, "Roguelike de cultos con gestión de seguidores", Roguelike, 0
Cult of the Lamb PS5, "Roguelike de cultos con gestión de seguidores", Roguelike, 0
Captain Tsubasa Rise of New Champions PS4, "Juego de fútbol arcade basado en el anime", Deportes, 0
Captain Tsubasa Rise of New Champions PS5, "Juego de fútbol arcade basado en el anime", Deportes, 0
Cyberpunk 2077 PS4, "RPG futurista en Night City", RPG, 0
Cyberpunk 2077 PS5, "RPG futurista en Night City", RPG, 0
Cities Skylines Remastered PS4, "Simulador de construcción y gestión de ciudades.", Simulador, 0
Crysis Remastered Trilogy PS4, "Shooter de ciencia ficción con gráficos realistas y combate táctico.", Shooter, 0
Clair Obscur Expedition 33 PS5, "Juego por turnos de accion 3D", Shooter, 0
Control PS4, "aventura de acción sobrenatural en un edificio misterioso con poderes telequinéticos", Aventura, 0
Control PS5, "aventura de acción sobrenatural en un edificio misterioso con poderes telequinéticos", Aventura, 0
Dakar Desert Rally PS4, "Rally todoterreno en el desierto", Racing, 0
Dakar Desert Rally PS5, "Rally todoterreno en el desierto", Racing, 0
Dakar 18 PS4, "Simulador oficial del rally Dakar", Racing, 0
Dakar 18 PS5, "Simulador oficial del rally Dakar", Racing, 0
Day Z PS4, "Survival multijugador post apocalíptico con zombies", Supervivencia, 0
Day Z PS5, "Survival multijugador post apocalíptico con zombies", Supervivencia, 0
Dark Souls Remastered PS4, "Remasterización del clásico souls", RPG, 0
Dark Souls Remastered PS5, "Remasterización del clásico souls", RPG, 0
Devil May Cry 4 PS5, "Hack and slash con combos estilizados", Acción, 0
Days Gone PS4, "Aventura post apocalíptica con hordas de zombies", Aventura, 0
Days Gone PS5, "Aventura post apocalíptica con hordas de zombies", Aventura, 0
Devil May Cry 5 + Vergil PS4, "Hack and slash con combos estilizados", Acción, 0
Devil May Cry 5 Deluxe + Vergil PS4, "Hack and slash con combos estilizados", Acción, 0
Devil May Cry 5 + Vergil PS5, "Hack and slash con combos estilizados", Acción, 0
Devil May Cry HD Collection & 4SE Bundle PS4, "Colección de juegos clásicos de DMC", Acción, 0
Devil May Cry HD Collection & 4SE Bundle PS5, "Colección de juegos clásicos de DMC", Acción, 0
DMC4SE Demon Hunter Bundle PS4, "Acción frenética con combates estilizados y demonios", Accion, 0
Dishonored 2 PS4, "Juega a tu manera en un mundo en el que misticismo e industria están en conflicto.", Accion, 0
Dishonored 2 PS5, "Juega a tu manera en un mundo en el que misticismo e industria están en conflicto.", Accion, 0
Diablo IV PS4, "RPG de acción con loot y mazmorras", RPG, 0
Diablo IV PS5, "RPG de acción con loot y mazmorras", RPG, 0
Diablo Prime Evil Collection PS4, "Diablo 2 y 3 remasterizados", RPG, 0
Diablo Prime Evil Collection PS5, "Diablo 2 y 3 remasterizados", RPG, 0
Diablo III Eternal Collection PS4, "RPG hack and slash con todas las expansiones", RPG, 0
Diablo III Eternal Collection PS5, "RPG hack and slash con todas las expansiones", RPG, 0
Diablo III PS5, "RPG hack and slash con todas las expansiones", RPG, 0
DIRT 5 PS4, "Carreras todoterreno arcade", Racing, 0
DIRT 5 PS5, "Carreras todoterreno arcade", Racing, 0
DiRT Rally 2.0 PS4, "Simulador de rally realista", Racing, 0
DiRT Rally 2.0 PS5, "Simulador de rally realista", Racing, 0
DIRT 5 Year One Edition PS4, "Carreras todoterreno arcade", Racing, 0
DIRT 5 Year One Edition PS5, "Carreras todoterreno arcade", Racing, 0
Doom Eternal PS4, "Shooter frenético de demonios", Shooter, 0
Doom Eternal PS5, "Shooter frenético de demonios", Shooter, 0
DOOM PS4, "Reinicio del clásico shooter de demonios", Shooter, 0
DOOM PS5, "Reinicio del clásico shooter de demonios", Shooter, 0
DOOM Anthology PS4, "Colección de shooters infernales llenos de acción y velocidad", Shooter, 0
DRAGON BALL FIGHTER Z PS4, "Juego de lucha 2.5D de Dragon Ball", Lucha, 0
DRAGON BALL FIGHTER Z PS5, "Juego de lucha 2.5D de Dragon Ball", Lucha, 0
DRAGON BALL FighterZ FighterZ Edition PS4, "Juego de lucha 2.5D de Dragon Ball", Lucha, 0
DRAGON BALL FighterZ Legendary Edition PS4, "Combates espectaculares 2D con personajes de Dragon Ball", Lucha, 0
Dragon Ball Xenoverse PS4, "RPG de lucha de Dragon Ball con viajes en el tiempo", Lucha, 0
Dragon Ball Xenoverse PS5, "RPG de lucha de Dragon Ball con viajes en el tiempo", Lucha, 0
Dragon Ball Xenoverse Bundle PS4, "Dos juegos de Xenoverse en un paquete", Lucha, 0
Dragon Ball Xenoverse Bundle PS5, "Dos juegos de Xenoverse en un paquete", Lucha, 0
Dragon Ball Xenoverse 2 PS4, "Secuela mejorada con más personajes", Lucha, 0
Dragon Ball Xenoverse 2 PS5, "Secuela mejorada con más personajes", Lucha, 0
Dragon Ball Z Kakarot PS4, "RPG de acción que recrea la saga de Dragon Ball Z", RPG, 1
Dragon Ball Z Kakarot PS5, "RPG de acción que recrea la saga de Dragon Ball Z", RPG, 1
Dragon Age Inquisition Edition PS4, "RPG épico de fantasía donde liderás a la Inquisición para salvar el mundo de una brecha mágica.", RPG, 0
Dragon Age Inquisition Edition PS5, "RPG épico de fantasía donde liderás a la Inquisición para salvar el mundo de una brecha mágica.", RPG, 0
DRAGON BALL Sparking ZERO PS5, "Nueva generación de Budokai Tenkaichi", Lucha, 1
Detroit Become Human PS4, "Aventura narrativa sobre androides y humanidad", Aventura, 0
Detroit Become Human PS5, "Aventura narrativa sobre androides y humanidad", Aventura, 0
Dying Light Essentials Edition PS4, "Survival horror con parkour y zombies", Terror, 0
Dying Light Essentials Edition PS5, "Survival horror con parkour y zombies", Terror, 0
Dying Light Enhanced Edition PS4, "Survival horror con parkour y zombies", Terror, 0
Dying Light Enhanced Edition PS5, "Survival horror con parkour y zombies", Terror, 0
Dying Light 2 Stay Human PS4, "Secuela con mundo abierto y parkour mejorado", Terror, 0
Dying Light 2 Stay Human PS5, "Secuela con mundo abierto y parkour mejorado", Terror, 0
DEATH STRANDING PS4, "Juego de mundo abierto y accion", Accion, 0
DEATH STRANDING PS5, "Juego de mundo abierto y accion", Accion, 0
Demon Slayer The Hinokami Chronicles PS4, "Juego de lucha basado en el anime", Lucha, 0
Demon Slayer Kimetsu no Yaiba The Hinokami Chronicles PS4, "Peleas cinemáticas basadas en el anime de Kimetsu no Yaiba", Lucha, 0
Demon Slayer The Hinokami Chronicles PS5, "Juego de lucha basado en el anime", Lucha, 0
Dead by Daylight PS4, "Survival horror multijugador asimétrico", Terror, 0
Dead by Daylight PS5, "Survival horror multijugador asimétrico", Terror, 0
Dead Island Riptide Edition PS4, "Acción cooperativa contra zombies en isla tropical", Acción, 0
Dead Island Riptide Edition PS5, "Acción cooperativa contra zombies en isla tropical", Acción, 0
Descenders PS4, "Roguelike de descensos en bicicleta", Deportes, 0
Descenders PS5, "Roguelike de descensos en bicicleta", Deportes, 0
EA FC 26 PS4, "Próxima entrega de EA Sports FC", Deportes, 1
EA FC 26 PS5, "Próxima entrega de EA Sports FC", Deportes, 1
EA FC 25 PS4, "Simulador de fútbol de EA Sports", Deportes, 1
EA FC 25 PS5, "Simulador de fútbol de EA Sports", Deportes, 1
EA FC 24 PS4, "Simulador de fútbol de EA Sports", Deportes, 0
EA FC 24 PS5, "Simulador de fútbol de EA Sports", Deportes, 0
STAR WARS TRIPLE BUNDLE PS4, "Tres juegos de Star Wars de EA", Acción, 0
STAR WARS TRIPLE BUNDLE PS5, "Tres juegos de Star Wars de EA", Acción, 0
Elden Ring PS4, "RPG de mundo abierto de FromSoftware", RPG, 0
Elden Ring PS5, "RPG de mundo abierto de FromSoftware", RPG, 0
F1 25 PS5, "Simulador de formula 1", Racing, 0
F1 24 PS4, "Simulador oficial de Fórmula 1", Racing, 0
F1 24 PS5, "Simulador oficial de Fórmula 1", Racing, 0
F1 23 PS4, "Simulador oficial de Fórmula 1", Racing, 0
F1 23 PS5, "Simulador oficial de Fórmula 1", Racing, 0
Fallout 4 PS4, "RPG post apocalíptico con todas las expansiones", RPG, 0
Fallout 4: Game of the Year Edition PS5, "RPG post apocalíptico con todas las expansiones", RPG, 0
Fallout 4 PS5, "RPG post apocalíptico con todas las expansiones", RPG, 0
Fallout 4 Edition PS4, "RPG post apocalíptico con todas las expansiones", RPG, 0
Far Cry Primal PS4, "Survival en la edad de piedra", Acción, 0
Far Cry Primal PS5, "Survival en la edad de piedra", Acción, 0
Far Cry 3 PS4, "Clásico shooter en isla tropical", Shooter, 0
Far Cry 3 PS5, "Clásico shooter en isla tropical", Shooter, 0
Far Cry 3 Classic Edition PS4, "Clásico shooter en isla tropical", Shooter, 0
Far Cry 3 Classic Edition PS5, "Clásico shooter en isla tropical", Shooter, 0
Far Cry 4 PS4, "Shooter de mundo abierto en el Himalaya", Shooter, 0
Far Cry 4 PS5, "Shooter de mundo abierto en el Himalaya", Shooter, 0
Far Cry 5 PS4, "Shooter en Montana contra un culto", Shooter, 0
Far Cry 5 PS5, "Shooter en Montana contra un culto", Shooter, 0
FAR CRY 4 + FAR CRY PRIMAL BUNDLE PS4, "Dos aventuras de mundo abierto con acción y supervivencia", Aventura, 0
FAR CRY PRIMAL APEX EDITION PS4, "Acción en la prehistoria con caza y supervivencia en mundo abierto", Aventura, 0
Far cry 5 + Far cry New Dawn PS4, "Far Cry 5 y su secuela post apocalíptica", Shooter, 0
Far cry 5 + Far cry New Dawn PS5, "Far Cry 5 y su secuela post apocalíptica", Shooter, 0
Far Cry 5 + Far Cry New Dawn PS4, "Far Cry 5 y su secuela post apocalíptica", Shooter, 0
Far Cry New Dawn PS4, "Secuela post apocalíptica de Far Cry 5", Shooter, 0
Far Cry New Dawn PS5, "Secuela post apocalíptica de Far Cry 5", Shooter, 0
Far Cry 6 PS4, "Revolución en una isla caribeña ficticia", Shooter, 0
Far Cry 6 PS5, "Revolución en una isla caribeña ficticia", Shooter, 0
Farming Simulator 22 PS4, "Simulador de granja y agricultura", Simulación, 0
Farming Simulator 22 PS5, "Simulador de granja y agricultura", Simulación, 0
For Honor PS4, "Juego de lucha medieval multijugador", Acción, 0
For Honor PS5, "Juego de lucha medieval multijugador", Acción, 0
Five Nights at Freddy's Security Breach PS4, "Horror de supervivencia en pizzería con animatrónicos", Terror, 0
Five Nights at Freddy's Security Breach PS5, "Horror de supervivencia en pizzería con animatrónicos", Terror, 0
FINAL FANTASY VII REMAKE PS4, "Remake del clásico JRPG", RPG, 0
FINAL FANTASY VII REMAKE PS5, "Remake del clásico JRPG", RPG, 0
Grounded PS4, "Survival cooperativo donde eres del tamaño de una hormiga", Supervivencia, 0
Grounded PS5, "Survival cooperativo donde eres del tamaño de una hormiga", Supervivencia, 0
GreedFall PS4, "Aventura colonial con magia y diplomacia", RPG, 0
GreedFall PS5, "Aventura colonial con magia y diplomacia", RPG, 0
Gang Beasts PS4, "Juego de lucha party con física ragdoll", Party, 0
Gang Beasts PS5, "Juego de lucha party con física ragdoll", Party, 0
Ghost of Tsushima PS4, "Aventura samurái en Japón feudal", Aventura, 0
Ghost of Tsushima PS5, "Aventura samurái en Japón feudal", Aventura, 0
Ghost of Yotei PS5, "Aventura samurái en Japón feudal", Aventura, 1
God of war III Remastered PS4, "Remasterización de la épica conclusión griega", Acción, 0
God of war 3 Remasterd PS5, "Remasterización de la épica conclusión griega", Acción, 0
God Of War (2018) PS4, "Reinicio de la saga en mitología nórdica", Acción, 0
God Of War (2018) PS5, "Reinicio de la saga en mitología nórdica", Acción, 0
God Of War 4 Latino PS5, "Reinicio de la saga en mitología nórdica", Acción, 0
God of War Ragnarok PS4, "Secuela épica del Ragnarok nórdico", Acción, 1
God of War Ragnarok PS5, "Secuela épica del Ragnarok nórdico", Acción, 1
Gran turismo 7 PS4, "Simulador de conducción realista", Racing, 0
Gran turismo 7 PS5, "Simulador de conducción realista", Racing, 0
Goat Simulator PS4, "Simulador absurdo de cabra", Simulación, 0
Grand Theft Auto V PS4, "Mundo abierto criminal en Los Santos", Acción, 1
Grand Theft Auto V PS5, "Mundo abierto criminal en Los Santos", Acción, 1
GTA V PS4, "Mundo abierto criminal en Los Santos", Acción, 0
GTA V PS5, "Mundo abierto criminal en Los Santos", Acción, 0
GTA Trilogy The Definitive Edition PS4, "Trilogía remasterizada de GTA", Acción, 0
GTA Trilogy The Definitive Edition PS5, "Trilogía remasterizada de GTA", Acción, 0
Grand Theft Auto: The Trilogy – The Definitive Edition PS4, "Trilogía remasterizada de GTA", Acción, 0
Grand Theft Auto: The Trilogy – The Definitive Edition PS5, "Trilogía remasterizada de GTA", Acción, 0
Grid Legends PS4, "Carreras arcade con historia", Racing, 0
Grid Legends PS5, "Carreras arcade con historia", Racing, 0
Hazelight Bundle PS4, "Bundle de juegos de aventura para 2 jugadores", Aventura, 0
Hazelight Bundle PS5, "Bundle de juegos de aventura para 2 jugadores", Aventura, 0
Hello Neighbor 2 PS4, "Aventura de sigilo e infiltración donde investigás a tu misterioso vecino", Aventura, 0
Hitman HD Enhanced Collection PS4, "Colección remasterizada de Hitman", Sigilo, 0
Hitman HD Enhanced Collection PS5, "Colección remasterizada de Hitman", Sigilo, 0
Hunting Simulator 2 Elite Edition PS4, "Simulador de caza realista", Simulación, 0
Hunting Simulator 2 Elite Edition PS5, "Simulador de caza realista", Simulación, 0
Hunting Simulator 2 Bear Hunter Edition PS4, "Simulador de caza realista", Simulación, 0
Hunting Simulator 2 Bear Hunter Edition PS5, "Simulador de caza realista", Simulación, 0
Human Fall Flat PS4, "Puzzle cooperativo con física divertida", Puzzle, 0
Human Fall Flat PS5, "Puzzle cooperativo con física divertida", Puzzle, 0
HITMAN World of Assassination PS4, "Trilogía completa de Hitman con contenido extra", Sigilo, 0
HITMAN World of Assassination PS5, "Trilogía completa de Hitman con contenido extra", Sigilo, 0
HITMAN World of Assassination Part One PS4, "Primera parte de la trilogía World of Assassination", Sigilo, 0
HITMAN World of Assassination Part One PS5, "Primera parte de la trilogía World of Assassination", Sigilo, 0
High On Life PS4, "humor y armas parlantes en mundo alienígena", Shooter, 0
High On Life PS5, "humor y armas parlantes en mundo alienígena", Shooter, 0
Hogwarts Legacy PS4, "RPG en el mundo mágico de Harry Potter", RPG, 0
Hogwarts Legacy PS5, "RPG en el mundo mágico de Harry Potter", RPG, 0
HOT WHEELS UNLEASHED PS4, "carreras con pistas locas y coches de juguete", Racing, 0
HOT WHEELS UNLEASHED PS5, "carreras con pistas locas y coches de juguete", Racing, 0
Horizon Forbidden West PS4, "Secuela de Horizon en nuevas tierras", Aventura, 0
Horizon Forbidden West PS5, "Secuela de Horizon en nuevas tierras", Aventura, 0
